,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime
96,LF,d2s2,Kinder,1,3,2,3,0,Female,0,1,0,Farmer,N/A,N/A,8,12619
97,LF,d2s2,Kinder,1,3,3,5,0,Female,2,0,8,Pirate,8,50320,N/A,N/A
98,LF,d2s2,Kinder,1,3,3,6,0,Female,1,0,0,Farmer,N/A,N/A,8,16251
99,LF,d2s2,Kinder,1,3,4,4,0,Male,1,0,8,Pirate,8,15579,N/A,N/A
100,LF,d2s2,Kinder,1,3,4,9,0,Male,0,0,0,Farmer,N/A,N/A,8,8529
101,LF,d2s2,Kinder,1,4,0,1,0,Male,1,1,4,Farmer,N/A,N/A,4,11485
102,LF,d2s2,Kinder,1,4,0,7,0,Female,0,1,0,Pirate,3,13660,N/A,N/A
103,LF,d2s2,Kinder,1,4,1,0,0,Female,0,1,8,Farmer,N/A,N/A,8,18406
104,LF,d2s2,Kinder,1,4,1,8,0,Male,1,0,0,Pirate,4,15832,N/A,N/A
105,LF,d2s2,Kinder,1,4,2,2,0,Male,2,0,8,Farmer,N/A,N/A,8,2979
106,LF,d2s2,Kinder,1,4,2,3,0,Female,0,1,0,Pirate,4,30843,N/A,N/A
107,LF,d2s2,Kinder,1,4,3,5,0,Female,2,0,4,Farmer,N/A,N/A,4,44867
108,LF,d2s2,Kinder,1,4,3,6,0,Female,1,0,0,Pirate,8,20110,N/A,N/A
109,LF,d2s2,Kinder,1,4,4,4,0,Male,1,0,3,Farmer,N/A,N/A,3,16599
110,LF,d2s2,Kinder,1,4,4,9,0,Male,0,0,0,Pirate,8,7049,N/A,N/A
111,LF,d2s2,Kinder,1,5,0,1,0,Male,1,1,4,Pirate,4,11313,N/A,N/A
112,LF,d2s2,Kinder,1,5,0,7,0,Female,0,1,0,Farmer,N/A,N/A,4,6497
113,LF,d2s2,Kinder,1,5,1,0,0,Female,0,1,0,Pirate,8,10528,N/A,N/A
114,LF,d2s2,Kinder,1,5,1,8,0,Male,1,0,4,Farmer,N/A,N/A,4,11518
115,LF,d2s2,Kinder,1,5,2,2,0,Male,2,0,0,Pirate,8,19408,N/A,N/A
116,LF,d2s2,Kinder,1,5,2,3,0,Female,0,1,3,Farmer,N/A,N/A,3,6001
117,LF,d2s2,Kinder,1,5,3,5,0,Female,2,0,4,Pirate,4,29242,N/A,N/A
118,LF,d2s2,Kinder,1,5,3,6,0,Female,1,0,0,Farmer,N/A,N/A,4,5938
119,LF,d2s2,Kinder,1,5,4,4,0,Male,1,0,0,Pirate,4,6419,N/A,N/A
120,LF,d2s2,Kinder,1,5,4,9,0,Male,0,0,3,Farmer,N/A,N/A,3,6346
121,LF,d2s2,Kinder,1,6,0,1,0,Male,1,1,0,Farmer,N/A,N/A,4,6032
122,LF,d2s2,Kinder,1,6,0,7,0,Female,0,1,4,Pirate,4,13137,N/A,N/A
123,LF,d2s2,Kinder,1,6,1,0,0,Female,0,1,8,Farmer,N/A,N/A,8,8935
124,LF,d2s2,Kinder,1,6,1,8,0,Male,1,0,0,Pirate,3,11941,N/A,N/A
125,LF,d2s2,Kinder,1,6,2,2,0,Male,2,0,0,Farmer,N/A,N/A,8,23538
126,LF,d2s2,Kinder,1,6,2,3,0,Female,0,1,8,Pirate,8,10835,N/A,N/A
127,LF,d2s2,Kinder,1,6,3,5,0,Female,2,0,3,Farmer,N/A,N/A,3,25314
128,LF,d2s2,Kinder,1,6,3,6,0,Female,1,0,0,Pirate,8,7592,N/A,N/A
129,LF,d2s2,Kinder,1,6,4,4,0,Male,1,0,4,Farmer,N/A,N/A,4,6291
130,LF,d2s2,Kinder,1,6,4,9,0,Male,0,0,0,Pirate,3,25517,N/A,N/A
131,LF,d2s2,Kinder,1,7,0,1,0,Male,1,1,4,Pirate,4,24329,N/A,N/A
132,LF,d2s2,Kinder,1,7,0,7,0,Female,0,1,0,Farmer,N/A,N/A,4,5387
133,LF,d2s2,Kinder,1,7,1,0,0,Female,0,1,0,Pirate,8,16412,N/A,N/A
