,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime,hintIsland,hintTime
79,LF,d1s1,Full,1,9,4,2,5,Male,0,3,8,Farmer,N/A,N/A,8,3285,N/A,N/A
80,LF,d1s1,Full,1,9,4,9,5,Male,1,0,0,Pirate,3,3068,N/A,N/A,N/A,N/A
81,LF,d1s1,Full,1,10,0,0,5,Male,1,0,0,Pirate,3,2219,N/A,N/A,N/A,N/A
82,LF,d1s1,Full,1,10,0,3,5,Female,0,1,4,Farmer,N/A,N/A,4,3338,N/A,N/A
83,LF,d1s1,Full,1,10,1,1,5,Female,0,1,0,Pirate,3,7553,N/A,N/A,N/A,N/A
84,LF,d1s1,Full,1,10,1,6,5,Male,2,0,8,Farmer,N/A,N/A,8,6797,N/A,N/A
85,LF,d1s1,Full,1,10,2,5,5,Male,0,1,4,Farmer,N/A,N/A,4,7297,N/A,N/A
86,LF,d1s1,Full,1,10,2,8,5,Female,0,0,0,Pirate,8,2517,N/A,N/A,N/A,N/A
87,LF,d1s1,Full,1,10,3,4,5,Male,0,0,0,Farmer,N/A,N/A,3,4092,N/A,N/A
88,LF,d1s1,Full,1,10,3,7,5,Female,0,1,3,Pirate,3,4383,N/A,N/A,N/A,N/A
89,LF,d1s1,Full,1,10,4,2,5,Male,0,3,4,Pirate,4,4126,N/A,N/A,N/A,N/A
90,LF,d1s1,Full,1,10,4,9,5,Male,1,0,0,Farmer,N/A,N/A,4,7375,N/A,N/A
91,LF,d1s1,Full,1,11,0,0,5,Male,1,0,0,Farmer,N/A,N/A,8,4309,N/A,N/A
92,LF,d1s1,Full,1,11,0,3,5,Female,0,1,8,Pirate,8,2970,N/A,N/A,N/A,N/A
93,LF,d1s1,Full,1,11,1,1,5,Female,0,1,8,Farmer,N/A,N/A,8,3511,N/A,N/A
94,LF,d1s1,Full,1,11,1,6,5,Male,2,0,0,Pirate,3,7829,N/A,N/A,N/A,N/A
95,LF,d1s1,Full,1,11,2,5,5,Male,0,1,0,Pirate,4,4939,N/A,N/A,N/A,N/A
96,LF,d1s1,Full,1,11,2,8,5,Female,0,0,3,Farmer,N/A,N/A,3,7019,N/A,N/A
97,LF,d1s1,Full,1,11,3,4,5,Male,0,0,0,Pirate,4,4795,N/A,N/A,N/A,N/A
98,LF,d1s1,Full,1,11,3,7,5,Female,0,1,3,Farmer,N/A,N/A,3,6762,N/A,N/A
99,LF,d1s1,Full,1,11,4,2,5,Male,0,3,8,Farmer,N/A,N/A,8,12198,N/A,N/A
100,LF,d1s1,Full,1,11,4,9,5,Male,1,0,0,Pirate,4,20806,N/A,N/A,N/A,N/A
101,LF,d1s1,Full,1,12,0,0,5,Male,1,0,0,Pirate,8,3401,N/A,N/A,N/A,N/A
102,LF,d1s1,Full,1,12,0,3,5,Female,0,1,3,Farmer,N/A,N/A,3,4113,N/A,N/A
103,LF,d1s1,Full,1,12,1,1,5,Female,0,1,0,Pirate,8,2641,N/A,N/A,N/A,N/A
104,LF,d1s1,Full,1,12,1,6,5,Male,2,0,3,Farmer,N/A,N/A,3,24688,N/A,N/A
105,LF,d1s1,Full,1,12,2,5,5,Male,0,1,4,Farmer,N/A,N/A,4,8867,N/A,N/A
106,LF,d1s1,Full,1,12,2,8,5,Female,0,0,0,Pirate,8,4073,N/A,N/A,N/A,N/A
107,LF,d1s1,Full,1,12,3,4,5,Male,0,0,4,Farmer,N/A,N/A,4,8713,N/A,N/A
108,LF,d1s1,Full,1,12,3,7,5,Female,0,1,0,Pirate,8,5632,N/A,N/A,N/A,N/A
109,LF,d1s1,Full,1,12,4,2,5,Male,0,3,8,Pirate,8,9163,N/A,N/A,N/A,N/A
110,LF,d1s1,Full,1,12,4,9,5,Male,1,0,0,Farmer,N/A,N/A,8,9271,N/A,N/A
111,LF,d1s1,Full,1,13,0,0,5,Male,1,0,4,Farmer,N/A,N/A,4,3231,N/A,N/A
112,LF,d1s1,Full,1,13,0,3,5,Female,0,1,0,Pirate,8,6771,N/A,N/A,N/A,N/A
113,LF,d1s1,Full,1,13,1,1,5,Female,0,1,0,Farmer,N/A,N/A,8,2225,N/A,N/A
114,LF,d1s1,Full,1,13,1,6,5,Male,2,0,8,Pirate,8,13626,N/A,N/A,N/A,N/A
115,LF,d1s1,Full,1,13,2,5,5,Male,0,1,8,Pirate,8,8451,N/A,N/A,N/A,N/A
116,LF,d1s1,Full,1,13,2,8,5,Female,0,0,0,Farmer,N/A,N/A,8,1990,N/A,N/A
117,LF,d1s1,Full,1,13,3,4,5,Male,0,0,0,Pirate,3,6565,N/A,N/A,N/A,N/A
118,LF,d1s1,Full,1,13,3,7,5,Female,0,1,4,Farmer,N/A,N/A,4,9363,N/A,N/A
119,LF,d1s1,Full,1,13,4,2,5,Male,0,3,0,Farmer,N/A,N/A,8,4542,N/A,N/A
120,LF,d1s1,Full,1,13,4,9,5,Male,1,0,8,Pirate,8,2259,N/A,N/A,N/A,N/A
121,LF,d1s1,Full,2,14,0,4,5,Male,0,0,8,Pirate,8,3904,N/A,N/A,N/A,N/A
122,LF,d1s1,Full,2,14,0,7,5,Female,0,1,0,Farmer,N/A,N/A,8,7636,4,11292
123,LF,d1s1,Full,2,14,1,2,5,Male,0,3,0,Pirate,4,5327,N/A,N/A,N/A,N/A
124,LF,d1s1,Full,2,14,1,5,5,Male,0,1,8,Farmer,N/A,N/A,8,6187,8,5266
125,LF,d1s1,Full,2,14,2,1,5,Female,0,1,8,Pirate,8,2719,N/A,N/A,N/A,N/A
126,LF,d1s1,Full,2,14,2,9,5,Male,1,0,0,Farmer,N/A,N/A,8,6719,3,5160
127,LF,d1s1,Full,2,14,3,0,5,Male,1,0,8,Farmer,N/A,N/A,8,2310,8,3191
128,LF,d1s1,Full,2,14,3,8,5,Female,0,0,0,Pirate,4,4495,N/A,N/A,N/A,N/A
129,LF,d1s1,Full,2,14,4,3,5,Female,0,1,0,Pirate,4,3984,N/A,N/A,N/A,N/A
130,LF,d1s1,Full,2,14,4,6,5,Male,2,0,8,Farmer,N/A,N/A,8,4766,8,9282
131,LF,d1s1,Full,2,15,0,4,5,Male,0,0,8,Farmer,N/A,N/A,8,3359,4,8944
132,LF,d1s1,Full,2,15,0,7,5,Female,0,1,0,Pirate,3,14378,N/A,N/A,N/A,N/A
133,LF,d1s1,Full,2,15,1,2,5,Male,0,3,8,Farmer,N/A,N/A,8,4813,8,6658
134,LF,d1s1,Full,2,15,1,5,5,Male,0,1,0,Pirate,4,6172,N/A,N/A,N/A,N/A
135,LF,d1s1,Full,2,15,2,1,5,Female,0,1,0,Farmer,N/A,N/A,4,15941,3,10474
136,LF,d1s1,Full,2,15,2,9,5,Male,1,0,4,Pirate,4,5666,N/A,N/A,N/A,N/A
137,LF,d1s1,Full,2,15,3,0,5,Male,1,0,0,Pirate,8,3365,N/A,N/A,N/A,N/A
138,LF,d1s1,Full,2,15,3,8,5,Female,0,0,4,Farmer,N/A,N/A,4,7898,3,11891
139,LF,d1s1,Full,2,15,4,3,5,Female,0,1,3,Farmer,N/A,N/A,3,3074,8,4731
140,LF,d1s1,Full,2,15,4,6,5,Male,2,0,0,Pirate,4,9813,N/A,N/A,N/A,N/A
141,LF,d1s1,Full,2,16,0,4,5,Male,0,0,0,Pirate,8,4938,N/A,N/A,N/A,N/A
142,LF,d1s1,Full,2,16,0,7,5,Female,0,1,3,Farmer,N/A,N/A,3,5494,8,9201
143,LF,d1s1,Full,2,16,1,2,5,Male,0,3,4,Pirate,4,2702,N/A,N/A,N/A,N/A
144,LF,d1s1,Full,2,16,1,5,5,Male,0,1,0,Farmer,N/A,N/A,4,3750,4,3016
145,LF,d1s1,Full,2,16,2,1,5,Female,0,1,3,Pirate,3,4436,N/A,N/A,N/A,N/A
146,LF,d1s1,Full,2,16,2,9,5,Male,1,0,0,Farmer,N/A,N/A,3,13715,3,16058
147,LF,d1s1,Full,2,16,3,0,5,Male,1,0,4,Farmer,N/A,N/A,4,2547,3,5984
148,LF,d1s1,Full,2,16,3,8,5,Female,0,0,0,Pirate,8,4164,N/A,N/A,N/A,N/A
149,LF,d1s1,Full,2,16,4,3,5,Female,0,1,0,Pirate,8,4377,N/A,N/A,N/A,N/A
150,LF,d1s1,Full,2,16,4,6,5,Male,2,0,4,Farmer,N/A,N/A,4,8875,3,11906
151,LF,d1s1,Full,2,17,0,4,5,Male,0,0,0,Farmer,N/A,N/A,8,2672,8,4106
152,LF,d1s1,Full,2,17,0,7,5,Female,0,1,8,Pirate,8,13212,N/A,N/A,N/A,N/A
153,LF,d1s1,Full,2,17,1,2,5,Male,0,3,0,Farmer,N/A,N/A,8,5362,8,6353
154,LF,d1s1,Full,2,17,1,5,5,Male,0,1,8,Pirate,8,7157,N/A,N/A,N/A,N/A
155,LF,d1s1,Full,2,17,2,1,5,Female,0,1,0,Farmer,N/A,N/A,4,5357,4,2800
156,LF,d1s1,Full,2,17,2,9,5,Male,1,0,4,Pirate,4,3850,N/A,N/A,N/A,N/A
157,LF,d1s1,Full,2,17,3,0,5,Male,1,0,0,Pirate,3,5594,N/A,N/A,N/A,N/A
158,LF,d1s1,Full,2,17,3,8,5,Female,0,0,8,Farmer,N/A,N/A,8,2654,4,5237
159,LF,d1s1,Full,2,17,4,3,5,Female,0,1,3,Farmer,N/A,N/A,3,3091,4,4579
160,LF,d1s1,Full,2,17,4,6,5,Male,2,0,0,Pirate,8,6641,N/A,N/A,N/A,N/A
161,LF,d1s1,Full,2,18,0,4,5,Male,0,0,8,Pirate,8,14458,N/A,N/A,N/A,N/A
162,LF,d1s1,Full,2,18,0,7,5,Female,0,1,0,Farmer,N/A,N/A,8,6269,8,7447
163,LF,d1s1,Full,2,18,1,2,5,Male,0,3,0,Pirate,3,5569,N/A,N/A,N/A,N/A
164,LF,d1s1,Full,2,18,1,5,5,Male,0,1,4,Farmer,N/A,N/A,4,8375,3,11141
165,LF,d1s1,Full,2,18,2,1,5,Female,0,1,4,Pirate,4,8396,N/A,N/A,N/A,N/A
166,LF,d1s1,Full,2,18,2,9,5,Male,1,0,0,Farmer,N/A,N/A,4,5133,3,6781
167,LF,d1s1,Full,2,18,3,0,5,Male,1,0,0,Farmer,N/A,N/A,3,4516,4,6629
168,LF,d1s1,Full,2,18,3,8,5,Female,0,0,3,Pirate,3,6206,N/A,N/A,N/A,N/A
169,LF,d1s1,Full,2,18,4,3,5,Female,0,1,0,Pirate,4,2834,N/A,N/A,N/A,N/A
170,LF,d1s1,Full,2,18,4,6,5,Male,2,0,8,Farmer,N/A,N/A,8,8578,3,14656
171,LF,d1s1,Full,2,19,0,4,5,Male,0,0,0,Farmer,N/A,N/A,4,4910,8,5863
172,LF,d1s1,Full,2,19,0,7,5,Female,0,1,4,Pirate,4,10512,N/A,N/A,N/A,N/A
173,LF,d1s1,Full,2,19,1,2,5,Male,0,3,8,Farmer,N/A,N/A,8,13641,8,14217
174,LF,d1s1,Full,2,19,1,5,5,Male,0,1,0,Pirate,4,6103,N/A,N/A,N/A,N/A
175,LF,d1s1,Full,2,19,2,1,5,Female,0,1,0,Farmer,N/A,N/A,8,8247,8,5989
176,LF,d1s1,Full,2,19,2,9,5,Male,1,0,8,Pirate,8,3373,N/A,N/A,N/A,N/A
177,LF,d1s1,Full,2,19,3,0,5,Male,1,0,0,Pirate,4,2628,N/A,N/A,N/A,N/A
178,LF,d1s1,Full,2,19,3,8,5,Female,0,0,8,Farmer,N/A,N/A,8,2841,4,4490
179,LF,d1s1,Full,2,19,4,3,5,Female,0,1,3,Farmer,N/A,N/A,3,2632,8,5976
180,LF,d1s1,Full,2,19,4,6,5,Male,2,0,0,Pirate,8,5782,N/A,N/A,N/A,N/A
181,LF,d1s1,Full,2,20,0,4,5,Male,0,0,4,Pirate,4,2484,N/A,N/A,N/A,N/A
182,LF,d1s1,Full,2,20,0,7,5,Female,0,1,0,Farmer,N/A,N/A,4,3056,3,23633
183,LF,d1s1,Full,2,20,1,2,5,Male,0,3,8,Pirate,8,10369,N/A,N/A,N/A,N/A
184,LF,d1s1,Full,2,20,1,5,5,Male,0,1,0,Farmer,N/A,N/A,8,2658,8,4865
185,LF,d1s1,Full,2,20,2,1,5,Female,0,1,4,Pirate,4,3385,N/A,N/A,N/A,N/A
186,LF,d1s1,Full,2,20,2,9,5,Male,1,0,0,Farmer,N/A,N/A,4,14268,4,19372
187,LF,d1s1,Full,2,20,3,0,5,Male,1,0,8,Farmer,N/A,N/A,8,5625,8,7052
188,LF,d1s1,Full,2,20,3,8,5,Female,0,0,0,Pirate,4,11719,N/A,N/A,N/A,N/A
189,LF,d1s1,Full,2,20,4,3,5,Female,0,1,0,Pirate,3,4316,N/A,N/A,N/A,N/A
190,LF,d1s1,Full,2,20,4,6,5,Male,2,0,4,Farmer,N/A,N/A,4,10484,8,30532
191,LF,d1s1,Full,2,21,0,4,5,Male,0,0,8,Farmer,N/A,N/A,8,2985,4,4047
192,LF,d1s1,Full,2,21,0,7,5,Female,0,1,0,Pirate,3,9188,N/A,N/A,N/A,N/A
193,LF,d1s1,Full,2,21,1,2,5,Male,0,3,8,Farmer,N/A,N/A,8,2807,8,3590
194,LF,d1s1,Full,2,21,1,5,5,Male,0,1,0,Pirate,4,2476,N/A,N/A,N/A,N/A
195,LF,d1s1,Full,2,21,2,1,5,Female,0,1,3,Farmer,N/A,N/A,3,5154,3,4522
196,LF,d1s1,Full,2,21,2,9,5,Male,1,0,0,Pirate,4,7191,N/A,N/A,N/A,N/A
197,LF,d1s1,Full,2,21,3,0,5,Male,1,0,8,Pirate,8,3207,N/A,N/A,N/A,N/A
198,LF,d1s1,Full,2,21,3,8,5,Female,0,0,0,Farmer,N/A,N/A,8,4028,3,10025
199,LF,d1s1,Full,2,21,4,3,5,Female,0,1,0,Farmer,N/A,N/A,8,5098,4,6593
200,LF,d1s1,Full,2,21,4,6,5,Male,2,0,8,Pirate,8,20376,N/A,N/A,N/A,N/A
201,LF,d1s1,Full,2,22,0,4,5,Male,0,0,0,Pirate,4,7234,N/A,N/A,N/A,N/A
202,LF,d1s1,Full,2,22,0,7,5,Female,0,1,8,Farmer,N/A,N/A,8,4889,8,6845
203,LF,d1s1,Full,2,22,1,2,5,Male,0,3,8,Pirate,8,6568,N/A,N/A,N/A,N/A
204,LF,d1s1,Full,2,22,1,5,5,Male,0,1,0,Farmer,N/A,N/A,8,11975,8,12819
205,LF,d1s1,Full,2,22,2,1,5,Female,0,1,8,Pirate,8,2870,N/A,N/A,N/A,N/A
206,LF,d1s1,Full,2,22,2,9,5,Male,1,0,0,Farmer,N/A,N/A,8,6043,8,10411
207,LF,d1s1,Full,2,22,3,0,5,Male,1,0,4,Farmer,N/A,N/A,4,5079,4,6533
208,LF,d1s1,Full,2,22,3,8,5,Female,0,0,0,Pirate,8,3473,N/A,N/A,N/A,N/A
209,LF,d1s1,Full,2,22,4,3,5,Female,0,1,0,Pirate,8,3402,N/A,N/A,N/A,N/A
210,LF,d1s1,Full,2,22,4,6,5,Male,2,0,3,Farmer,N/A,N/A,3,5001,8,7235
211,LF,d1s1,Full,2,23,0,4,5,Male,0,0,0,Farmer,N/A,N/A,3,7391,8,8266
212,LF,d1s1,Full,2,23,0,7,5,Female,0,1,3,Pirate,3,4930,N/A,N/A,N/A,N/A
213,LF,d1s1,Full,2,23,1,2,5,Male,0,3,4,Farmer,N/A,N/A,4,8588,4,16621
214,LF,d1s1,Full,2,23,1,5,5,Male,0,1,0,Pirate,8,3402,N/A,N/A,N/A,N/A
215,LF,d1s1,Full,2,23,2,1,5,Female,0,1,0,Farmer,N/A,N/A,8,19639,8,18866
216,LF,d1s1,Full,2,23,2,9,5,Male,1,0,8,Pirate,8,3289,N/A,N/A,N/A,N/A
217,LF,d1s1,Full,2,23,3,0,5,Male,1,0,0,Pirate,8,5536,N/A,N/A,N/A,N/A
218,LF,d1s1,Full,2,23,3,8,5,Female,0,0,3,Farmer,N/A,N/A,3,6159,8,8123
219,LF,d1s1,Full,2,23,4,3,5,Female,0,1,4,Farmer,N/A,N/A,4,2848,3,4452
220,LF,d1s1,Full,2,23,4,6,5,Male,2,0,0,Pirate,8,5578,N/A,N/A,N/A,N/A
221,LF,d1s1,Full,2,24,0,4,5,Male,0,0,0,Pirate,8,6891,N/A,N/A,N/A,N/A
222,LF,d1s1,Full,2,24,0,7,5,Female,0,1,3,Farmer,N/A,N/A,3,3946,4,4417
223,LF,d1s1,Full,2,24,1,2,5,Male,0,3,0,Pirate,8,8888,N/A,N/A,N/A,N/A
224,LF,d1s1,Full,2,24,1,5,5,Male,0,1,4,Farmer,N/A,N/A,4,3973,4,5157
225,LF,d1s1,Full,2,24,2,1,5,Female,0,1,0,Pirate,4,3204,N/A,N/A,N/A,N/A
226,LF,d1s1,Full,2,24,2,9,5,Male,1,0,8,Farmer,N/A,N/A,8,9488,4,12669
227,LF,d1s1,Full,2,24,3,0,5,Male,1,0,3,Farmer,N/A,N/A,3,2913,3,8588
228,LF,d1s1,Full,2,24,3,8,5,Female,0,0,0,Pirate,8,4908,N/A,N/A,N/A,N/A
229,LF,d1s1,Full,2,24,4,3,5,Female,0,1,4,Pirate,4,4748,N/A,N/A,N/A,N/A
230,LF,d1s1,Full,2,24,4,6,5,Male,2,0,0,Farmer,N/A,N/A,4,5313,3,30314
231,LF,d1s1,Full,2,25,0,4,5,Male,0,0,8,Farmer,N/A,N/A,8,3188,4,3719
232,LF,d1s1,Full,2,25,0,7,5,Female,0,1,0,Pirate,4,11987,N/A,N/A,N/A,N/A
233,LF,d1s1,Full,2,25,1,2,5,Male,0,3,3,Farmer,N/A,N/A,3,30780,4,28052
234,LF,d1s1,Full,2,25,1,5,5,Male,0,1,0,Pirate,8,2758,N/A,N/A,N/A,N/A
235,LF,d1s1,Full,2,25,2,1,5,Female,0,1,4,Farmer,N/A,N/A,4,8941,4,9816
236,LF,d1s1,Full,2,25,2,9,5,Male,1,0,0,Pirate,8,4832,N/A,N/A,N/A,N/A
237,LF,d1s1,Full,2,25,3,0,5,Male,1,0,0,Pirate,4,3001,N/A,N/A,N/A,N/A
238,LF,d1s1,Full,2,25,3,8,5,Female,0,0,8,Farmer,N/A,N/A,8,2774,4,5503
239,LF,d1s1,Full,2,25,4,3,5,Female,0,1,0,Farmer,N/A,N/A,3,6316,8,13368
