participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.q2_offer,player.q2_feeling,player.q3_offer,player.q3_feeling,player.payoff,session.code,session.label
5,lcojx99i,720,5,15,Maybe,20,Yes,0,a5eb229g,D2S3a
6,e8x2g98y,638,6,15,Yes,20,Maybe,0,a5eb229g,D2S3a
7,a0rnf5jo,616,7,15,Maybe,20,Maybe,0,a5eb229g,D2S3a
8,yswsesro,506,8,30,No,40,Maybe,0,a5eb229g,D2S3a
9,jg8n6o5d,618,9,15,Yes,20,Yes,0,a5eb229g,D2S3a
1,tr3wlw6o,678,1,30,Yes,40,Maybe,0,bt93kxcq,D2S4a
2,l51fojm0,658,2,15,Yes,20,Yes,0,bt93kxcq,D2S4a
3,kr1cymud,618,3,15,Maybe,40,Maybe,0,bt93kxcq,D2S4a
4,2sk6oxme,618,4,15,Yes,20,Yes,0,bt93kxcq,D2S4a
5,rgyogtk7,638,5,15,Yes,20,Yes,0,bt93kxcq,D2S4a
6,t0j3wvdt,708,6,15,Yes,20,Maybe,0,bt93kxcq,D2S4a
7,s7s09kqe,648,7,15,Yes,20,Maybe,0,bt93kxcq,D2S4a
8,qmqjcpry,678,8,15,Yes,40,Maybe,0,bt93kxcq,D2S4a
1,cm6rrzej,556,1,30,Yes,20,Maybe,0,y847ysjq,D2S4b
2,u59wlkpc,591,2,15,Maybe,40,Maybe,0,y847ysjq,D2S4b
3,hib9ydwy,728,3,15,Yes,40,Maybe,0,y847ysjq,D2S4b
4,keb9km3w,563,4,15,Maybe,20,Maybe,0,y847ysjq,D2S4b
5,n8wj10qg,707,5,15,Yes,40,Maybe,0,y847ysjq,D2S4b
6,f8j4uxj0,698,6,15,Maybe,20,Maybe,0,y847ysjq,D2S4b
7,4rx9pfw0,658,7,15,No,20,No,0,y847ysjq,D2S4b
8,i6qjfwru,490,8,20,Maybe,20,Maybe,0,y847ysjq,D2S4b
1,0utvs6gc,653,1,15,Maybe,40,Maybe,0,x5rdw11g,D2S5a
2,9oac3y4g,556,2,30,Maybe,20,Maybe,0,x5rdw11g,D2S5a
3,9eubdeen,733,3,15,Yes,20,Yes,0,x5rdw11g,D2S5a
4,xyl31nii,576,4,15,Yes,40,Maybe,0,x5rdw11g,D2S5a
5,zl1aj8rx,538,5,30,Yes,20,Maybe,0,x5rdw11g,D2S5a
6,9ip0iiqt,496,6,30,Maybe,40,Maybe,0,x5rdw11g,D2S5a
7,bqa24ehw,436,7,39,Yes,33,No,0,x5rdw11g,D2S5a
8,4ptf8vfv,576,8,15,Maybe,20,Yes,0,x5rdw11g,D2S5a
9,baowggw4,708,9,15,Maybe,20,Maybe,0,x5rdw11g,D2S5a
1,adfntlrf,611,1,15,Maybe,20,Yes,0,ro8m0khb,D2S5b
2,u5ab3es2,598,2,15,Yes,40,Maybe,0,ro8m0khb,D2S5b
3,eyngma6v,556,3,30,Yes,40,Maybe,0,ro8m0khb,D2S5b
4,si73c1rj,587,4,30,Maybe,20,Maybe,0,ro8m0khb,D2S5b
5,irv5tp1z,596,5,30,Maybe,40,Maybe,0,ro8m0khb,D2S5b
6,pu7qil17,598,6,15,Yes,20,Maybe,0,ro8m0khb,D2S5b
7,fa0hneur,453,7,10,Yes,20,Yes,0,ro8m0khb,D2S5b
8,4oe3xbdp,618,8,15,Yes,20,Yes,0,ro8m0khb,D2S5b
9,4s1g6mry,698,9,15,Yes,20,Maybe,0,ro8m0khb,D2S5b
1,6wqperak,758,1,15,Yes,20,Yes,0,7xooqg1s,D2S6a
2,mjgt6fl5,673,2,15,Yes,40,Maybe,0,7xooqg1s,D2S6a
3,j5b8s6j2,590,3,30,Maybe,20,Maybe,0,7xooqg1s,D2S6a
4,en31ea25,733,4,15,No,20,Yes,0,7xooqg1s,D2S6a
5,sbviw9xh,613,5,30,Maybe,40,Maybe,0,7xooqg1s,D2S6a
6,ncxydhyh,668,6,15,Yes,20,Maybe,0,7xooqg1s,D2S6a
7,5r43vn60,638,7,15,Yes,40,Maybe,0,7xooqg1s,D2S6a
1,lg0rk9wb,641,1,30,Maybe,40,Maybe,0,rr9yah9y,D2S6b
2,0w3gtnk5,630,2,15,Yes,20,Yes,0,rr9yah9y,D2S6b
3,4zolqy95,678,3,15,Yes,20,Yes,0,rr9yah9y,D2S6b
4,p0ap3rqq,593,4,15,Yes,20,Yes,0,rr9yah9y,D2S6b
5,orbujnbu,693,5,15,Maybe,20,Maybe,0,rr9yah9y,D2S6b
6,512prdu2,717,6,30,Maybe,40,Maybe,0,rr9yah9y,D2S6b
7,crbx0n6k,681,7,15,Yes,20,Yes,0,rr9yah9y,D2S6b
8,yjxdzlx5,678,8,15,Yes,20,Yes,0,rr9yah9y,D2S6b
1,9yh5h68a,653,1,30,Yes,20,No,0,ec512gfe,D3S1a
2,fr9cvkmq,598,2,15,Yes,40,Yes,0,ec512gfe,D3S1a
3,lm52wh33,718,3,15,Yes,20,Maybe,0,ec512gfe,D3S1a
4,lwzguohg,638,4,15,Yes,20,Maybe,0,ec512gfe,D3S1a
5,f5gjwe6v,597,5,30,Maybe,40,Maybe,0,ec512gfe,D3S1a
6,1xjh4kuc,718,6,15,Maybe,20,Maybe,0,ec512gfe,D3S1a
7,4p79jyy4,698,7,15,Maybe,20,Maybe,0,ec512gfe,D3S1a
8,x719a3by,659,8,15,Maybe,40,Maybe,0,ec512gfe,D3S1a
9,rjvce3az,596,9,30,Maybe,40,Maybe,0,ec512gfe,D3S1a
1,brerdqcz,718,1,15,Maybe,20,Maybe,0,o4aw7m0f,D3S1b
2,ev9blazq,758,2,15,Yes,20,Yes,0,o4aw7m0f,D3S1b
3,07rqm0nm,583,3,15,Maybe,20,Yes,0,o4aw7m0f,D3S1b
4,j4sdwudt,698,4,15,Yes,20,Maybe,0,o4aw7m0f,D3S1b
5,3z7r6y4w,606,5,30,Maybe,20,Yes,0,o4aw7m0f,D3S1b
6,1flipg31,673,6,15,Yes,20,Maybe,0,o4aw7m0f,D3S1b
7,5m1k418p,718,7,30,Maybe,40,Maybe,0,o4aw7m0f,D3S1b
8,56ho1se3,650,8,15,Yes,20,Maybe,0,o4aw7m0f,D3S1b
9,w50nstnk,710,9,15,Yes,20,Yes,0,o4aw7m0f,D3S1b
10,efvi54fe,738,10,15,Yes,20,Maybe,0,o4aw7m0f,D3S1b
1,drx3mmrt,633,1,15,Yes,20,Yes,0,mc9u58mw,D3S2
2,qpt1uojf,636,2,30,Maybe,25,Maybe,0,mc9u58mw,D3S2
3,sc15gc6r,718,3,15,Yes,20,Yes,0,mc9u58mw,D3S2
4,dayyqx11,663,4,15,Yes,20,Yes,0,mc9u58mw,D3S2
1,lif4mdum,491,1,30,Maybe,40,Yes,0,m26akva0,D3S3a
2,zp5ekrg1,655,2,30,Yes,40,Yes,0,m26akva0,D3S3a
3,l4biv726,598,3,15,Yes,20,Yes,0,m26akva0,D3S3a
4,qqemoaip,519,4,15,No,20,No,0,m26akva0,D3S3a
5,w78otykf,696,5,30,Maybe,20,Maybe,0,m26akva0,D3S3a
6,juc3qixc,611,6,15,Yes,20,Maybe,0,m26akva0,D3S3a
7,jhkzwz6x,618,7,15,Yes,20,Yes,0,m26akva0,D3S3a
1,fxgg4n0q,658,1,30,Maybe,40,No,0,m7l4vrui,D3S3b
2,k474aoj0,635,2,30,No,40,No,0,m7l4vrui,D3S3b
3,lk8mwa7p,611,3,15,Maybe,40,Maybe,0,m7l4vrui,D3S3b
4,yjpob5pw,596,4,30,No,30,Maybe,0,m7l4vrui,D3S3b
5,fc2x6l05,652,5,15,Maybe,20,No,0,m7l4vrui,D3S3b
6,p1f0zqmd,578,6,15,Yes,20,Yes,0,m7l4vrui,D3S3b
7,iv6cgjc3,596,7,30,Yes,40,Yes,0,m7l4vrui,D3S3b
1,dof2osa5,563,1,15,Yes,20,Maybe,0,wml9tw1k,D3S4a
2,bp48yndg,623,2,15,Yes,40,Yes,0,wml9tw1k,D3S4a
3,pacxpu0h,666,3,16,No,16,Yes,0,wml9tw1k,D3S4a
4,zg76tzcg,585,4,30,Yes,20,Maybe,0,wml9tw1k,D3S4a
5,j2p7uazr,683,5,30,Maybe,40,Maybe,0,wml9tw1k,D3S4a
6,0fqatoj3,590,6,15,Maybe,40,Yes,0,wml9tw1k,D3S4a
7,k2tcpgli,717,7,15,No,20,No,0,wml9tw1k,D3S4a
8,v6xwgczf,587,8,30,Yes,40,Yes,0,wml9tw1k,D3S4a
1,sk00pqo6,616,1,30,Maybe,40,Maybe,0,gk7lv0cb,D3S4b
2,2hmg90oc,616,2,15,Yes,20,Yes,0,gk7lv0cb,D3S4b
3,7tvyh0ri,636,3,30,No,20,Yes,0,gk7lv0cb,D3S4b
4,t9vbzhoh,572,4,30,Yes,40,Maybe,0,gk7lv0cb,D3S4b
5,mj12d5yw,591,5,30,Maybe,40,Maybe,0,gk7lv0cb,D3S4b
6,kirs0g4x,648,6,30,Yes,20,Maybe,0,gk7lv0cb,D3S4b
7,s6o2a2ar,660,7,15,Yes,20,Yes,0,gk7lv0cb,D3S4b
8,k5ia88qh,430,8,40,Maybe,55,Maybe,0,gk7lv0cb,D3S4b
1,2lfe1whz,695,1,15,No,35,No,0,dyw6sw7k,D3S5a
2,rwwy7msm,643,2,30,Yes,20,Maybe,0,dyw6sw7k,D3S5a
3,nokru1oc,703,3,15,Yes,20,Maybe,0,dyw6sw7k,D3S5a
4,c22hdltq,626,4,16,Maybe,30,Maybe,0,dyw6sw7k,D3S5a
5,jt25r97k,753,5,15,No,20,No,0,dyw6sw7k,D3S5a
6,klzhamb2,572,6,18,No,35,No,0,dyw6sw7k,D3S5a
7,pgrfx1eg,376,7,35,No,50,No,0,dyw6sw7k,D3S5a
1,ieqy5qg4,636,1,30,Yes,40,No,0,k7jh2w79,D3S5b
2,6lsixgxw,661,2,30,Maybe,30,No,0,k7jh2w79,D3S5b
3,0wbss885,596,3,30,Yes,40,Maybe,0,k7jh2w79,D3S5b
4,x75mqu2k,115,4,40,No,55,No,0,k7jh2w79,D3S5b
5,1tmto8qj,716,5,30,Yes,40,Maybe,0,k7jh2w79,D3S5b
6,0xy81exc,556,6,30,Yes,40,Yes,0,k7jh2w79,D3S5b
7,0qrpc4ng,596,7,30,Maybe,35,Maybe,0,k7jh2w79,D3S5b
