participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.P1,player.P2,player.payoff,subsession.round_number,subsession.treatment_type,subsession.num_initial_points,subsession.X,subsession.Y,subsession.Z,subsession.subsession_pk,session.code,session.label
3,qb9wv6l6,701,3,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
4,67h951jm,698,4,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
5,nhermg8t,477,5,39,39,6,12,1,300,40,30,15,452,8xa6r37h,D1S1b
6,6kaajdsd,738,6,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
7,eakesbfr,620,7,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,45,45,10,12,1,300,40,30,15,452,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
1,4txh2c97,651,1,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
2,ypfig1f3,596,2,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
4,67h951jm,698,4,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
5,nhermg8t,477,5,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
6,6kaajdsd,738,6,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
7,eakesbfr,620,7,20,20,20,13,1,300,20,35,20,453,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,30,30,10,13,1,300,20,35,20,453,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,35,35,25,13,1,300,20,35,20,453,8xa6r37h,D1S1b
1,4txh2c97,651,1,10,10,15,14,1,300,30,10,15,454,8xa6r37h,D1S1b
2,ypfig1f3,596,2,30,30,10,14,1,300,30,10,15,454,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,10,10,15,14,1,300,30,10,15,454,8xa6r37h,D1S1b
