Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-Burbank-S1,10,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,2,11501,1,1
LILA-Burbank-S1,12,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,2,8143,1,1
LILA-Burbank-S1,13,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,1,10343,1,1
LILA-Burbank-S1,15,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,0,17823,1,1
LILA-Burbank-S1,16,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,0,7096,1,1
LILA-Burbank-S1,18,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,1,7688,1,1
LILA-Burbank-S1,20,0,2,2,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,4788,1,1
LILA-Burbank-S1,14,0,2,3,Male,Science / Technology,11FB,1,mar.,2001,40,2,Player 3,0,3346,1,1
LILA-Burbank-S1,4,0,2,4,Female,French,11FB,1,aug.,2001,40,0,Player 1,1,14704,1,1
LILA-Burbank-S1,8,0,2,4,Female,French,11FB,1,aug.,2001,40,1,Player 2,0,14188,1,1
LILA-Burbank-S1,9,0,2,4,Female,French,11FB,1,aug.,2001,40,2,Player 3,0,5657,1,1
LILA-Burbank-S1,12,0,2,4,Female,French,11FB,1,aug.,2001,40,2,Player 3,2,3768,1,1
LILA-Burbank-S1,16,0,2,4,Female,French,11FB,1,aug.,2001,40,0,Player 1,0,5468,1,1
LILA-Burbank-S1,4,0,2,5,Female,English,11FB,0,feb.,2001,40,1,Player 2,1,8078,1,1
LILA-Burbank-S1,6,0,2,5,Female,English,11FB,0,feb.,2001,40,0,Player 1,0,8875,1,1
LILA-Burbank-S1,19,0,2,5,Female,English,11FB,0,feb.,2001,20,1,Player 2,1,22720,0,0
LILA-Burbank-S1,8,0,2,6,Male,English,11FB,2 or more,aug.,2001,40,0,Player 1,2,8406,1,1
LILA-Burbank-S1,13,0,2,6,Male,English,11FB,2 or more,aug.,2001,40,2,Player 3,1,22939,1,1
LILA-Burbank-S1,3,0,2,7,Female,English,11FB,0,jul.,2001,40,1,Player 2,1,23150,1,1
LILA-Burbank-S1,6,0,2,7,Female,English,11FB,0,jul.,2001,40,1,Player 2,0,11335,1,1
LILA-Burbank-S1,7,0,2,7,Female,English,11FB,0,jul.,2001,40,2,Player 3,0,7590,1,1
LILA-Burbank-S1,11,0,2,7,Female,English,11FB,0,jul.,2001,40,0,Player 1,1,11775,1,1
LILA-Burbank-S1,15,0,2,7,Female,English,11FB,0,jul.,2001,40,1,Player 2,0,10961,1,1
LILA-Burbank-S1,16,0,2,7,Female,English,11FB,0,jul.,2001,40,2,Player 3,0,3968,1,1
LILA-Burbank-S1,18,0,2,7,Female,English,11FB,0,jul.,2001,40,1,Player 2,0,7222,1,1
LILA-Burbank-S1,19,0,2,7,Female,English,11FB,0,jul.,2001,40,2,Player 3,1,5608,1,1
LILA-Burbank-S1,20,0,2,7,Female,English,11FB,0,jul.,2001,40,0,Player 1,1,6767,1,1
LILA-Burbank-S1,5,0,2,8,Male,Science / Technology,11FB,1,dec.,2001,40,1,Player 2,2,33188,1,1
LILA-Burbank-S1,6,0,2,8,Male,Science / Technology,11FB,1,dec.,2001,40,2,Player 3,2,4953,1,1
LILA-Burbank-S1,10,0,2,8,Male,Science / Technology,11FB,1,dec.,2001,20,0,Player 1,2,26939,0,0
LILA-Burbank-S1,19,0,2,8,Male,Science / Technology,11FB,1,dec.,2001,40,0,Player 1,2,14985,0,1
LILA-Burbank-S1,5,0,2,9,Male,Math,11FB,0,feb.,2001,40,2,Player 3,0,7797,1,1
LILA-Burbank-S1,7,0,2,9,Male,Math,11FB,0,feb.,2001,40,1,Player 2,0,11048,1,1
LILA-Burbank-S1,8,0,2,9,Male,Math,11FB,0,feb.,2001,40,2,Player 3,2,5282,1,1
LILA-Burbank-S1,9,0,2,9,Male,Math,11FB,0,feb.,2001,40,0,Player 1,1,14392,1,1
LILA-Burbank-S1,11,0,2,9,Male,Math,11FB,0,feb.,2001,40,2,Player 3,2,4547,1,1
LILA-Burbank-S1,17,0,2,9,Male,Math,11FB,0,feb.,2001,40,2,Player 3,2,8490,1,1
LILA-Burbank-S1,3,0,2,10,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,10407,1,1
LILA-Burbank-S1,7,0,2,10,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,0,8892,1,1
LILA-Burbank-S1,13,0,2,10,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,1,9595,1,1
LILA-Burbank-S1,17,0,2,10,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,0,5923,1,1
LILA-Burbank-S1,18,0,2,10,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,0,3344,1,1
LILA-Burbank-S1,4,0,2,11,Male,Science / Technology,11FB,0,oct.,2001,40,2,Player 3,1,8735,1,1
LILA-Burbank-S1,14,0,2,11,Male,Science / Technology,11FB,0,oct.,2001,40,0,Player 1,2,11813,1,1
LILA-Burbank-S1,17,0,2,11,Male,Science / Technology,11FB,0,oct.,2001,40,0,Player 1,2,10078,1,1
LILA-Burbank-S1,6,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,1,Player 2,0,7354,1,1
LILA-Burbank-S1,7,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,2,Player 3,0,4335,1,1
LILA-Burbank-S1,8,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,0,Player 1,2,13682,1,1
LILA-Burbank-S1,11,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,0,Player 1,1,11435,1,1
LILA-Burbank-S1,13,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,2,Player 3,1,3848,1,1
LILA-Burbank-S1,16,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,2,Player 3,0,6243,1,1
LILA-Burbank-S1,17,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,0,Player 1,2,6549,1,1
LILA-Burbank-S1,20,0,3,0,Female,Science / Technology,11FB,1,oct.,2001,40,0,Player 1,1,7266,1,1
LILA-Burbank-S1,4,0,3,1,Female,Math,11FB,1,apr.,2002,40,0,Player 1,1,12454,1,1
LILA-Burbank-S1,5,0,3,1,Female,Math,11FB,1,apr.,2002,40,1,Player 2,2,13673,1,1
LILA-Burbank-S1,7,0,3,1,Female,Math,11FB,1,apr.,2002,40,0,Player 1,0,7875,1,1
LILA-Burbank-S1,9,0,3,1,Female,Math,11FB,1,apr.,2002,40,2,Player 3,0,8938,1,1
LILA-Burbank-S1,13,0,3,1,Female,Math,11FB,1,apr.,2002,40,0,Player 1,1,6703,1,1
LILA-Burbank-S1,4,0,3,2,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,1,7771,1,1
LILA-Burbank-S1,5,0,3,2,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,0,4675,1,1
LILA-Burbank-S1,9,0,3,2,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,1,17040,1,1
LILA-Burbank-S1,11,0,3,2,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,5011,1,1
LILA-Burbank-S1,17,0,3,2,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,5456,1,1
LILA-Burbank-S1,3,0,3,3,Male,Science / Technology,11FB,1,mar.,2001,40,0,Player 1,2,9485,1,1
LILA-Burbank-S1,6,0,3,3,Male,Science / Technology,11FB,1,mar.,2001,40,0,Player 1,0,14976,1,1
LILA-Burbank-S1,13,0,3,3,Male,Science / Technology,11FB,1,mar.,2001,40,1,Player 2,1,9388,1,1
LILA-Burbank-S1,15,0,3,3,Male,Science / Technology,11FB,1,mar.,2001,40,0,Player 1,0,8920,1,1
LILA-Burbank-S1,16,0,3,3,Male,Science / Technology,11FB,1,mar.,2001,40,1,Player 2,0,6394,1,1
LILA-Burbank-S1,18,0,3,3,Male,Science / Technology,11FB,1,mar.,2001,40,0,Player 1,1,8746,1,1
LILA-Burbank-S1,3,0,3,4,Female,French,11FB,1,aug.,2001,40,2,Player 3,2,14739,1,1
LILA-Burbank-S1,14,0,3,4,Female,French,11FB,1,aug.,2001,40,1,Player 2,2,10641,1,1
LILA-Burbank-S1,15,0,3,4,Female,French,11FB,1,aug.,2001,40,2,Player 3,2,4203,1,1
LILA-Burbank-S1,20,0,3,4,Female,French,11FB,1,aug.,2001,40,1,Player 2,0,8269,1,1
LILA-Burbank-S1,7,0,3,5,Female,English,11FB,0,feb.,2001,40,1,Player 2,0,5688,1,1
LILA-Burbank-S1,8,0,3,5,Female,English,11FB,0,feb.,2001,40,2,Player 3,2,4031,1,1
LILA-Burbank-S1,12,0,3,5,Female,English,11FB,0,feb.,2001,20,0,Player 1,0,5126,0,0
LILA-Burbank-S1,4,0,3,6,Male,English,11FB,2 or more,aug.,2001,40,2,Player 3,1,5907,1,1
LILA-Burbank-S1,5,0,3,6,Male,English,11FB,2 or more,aug.,2001,40,0,Player 1,2,10547,1,1
LILA-Burbank-S1,12,0,3,6,Male,English,11FB,2 or more,aug.,2001,40,1,Player 2,1,15235,1,1
LILA-Burbank-S1,14,0,3,6,Male,English,11FB,2 or more,aug.,2001,40,0,Player 1,2,19094,1,1
LILA-Burbank-S1,19,0,3,6,Male,English,11FB,2 or more,aug.,2001,40,2,Player 3,1,5062,1,1
LILA-Burbank-S1,10,0,3,7,Female,English,11FB,0,jul.,2001,40,2,Player 3,1,15348,1,1
LILA-Burbank-S1,16,0,3,8,Male,Science / Technology,11FB,1,dec.,2001,20,0,Player 1,1,43955,0,0
LILA-Burbank-S1,17,0,3,8,Male,Science / Technology,11FB,1,dec.,2001,40,1,Player 2,0,21392,1,1
LILA-Burbank-S1,18,0,3,8,Male,Science / Technology,11FB,1,dec.,2001,40,2,Player 3,0,4611,1,1
LILA-Burbank-S1,10,0,3,9,Male,Math,11FB,0,feb.,2001,40,1,Player 2,2,10111,1,1
LILA-Burbank-S1,14,0,3,9,Male,Math,11FB,0,feb.,2001,40,2,Player 3,0,7030,1,1
LILA-Burbank-S1,19,0,3,9,Male,Math,11FB,0,feb.,2001,40,1,Player 2,2,16032,1,1
LILA-Burbank-S1,20,0,3,9,Male,Math,11FB,0,feb.,2001,40,2,Player 3,2,3716,1,1
LILA-Burbank-S1,6,0,3,10,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,3766,1,1
LILA-Burbank-S1,8,0,3,10,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,0,14549,1,1
LILA-Burbank-S1,10,0,3,10,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,1,8642,1,1
LILA-Burbank-S1,11,0,3,10,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,0,6987,1,1
LILA-Burbank-S1,12,0,3,10,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,9486,1,1
LILA-Burbank-S1,19,0,3,10,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,1,7256,1,1
LILA-Burbank-S1,3,0,3,11,Male,Science / Technology,11FB,0,oct.,2001,40,1,Player 2,1,18516,1,1
LILA-Burbank-S1,9,0,3,11,Male,Science / Technology,11FB,0,oct.,2001,40,1,Player 2,0,11110,1,1
LILA-Burbank-S1,15,0,3,11,Male,Science / Technology,11FB,0,oct.,2001,40,1,Player 2,0,5547,1,1
LILA-Burbank-S1,18,0,3,11,Male,Science / Technology,11FB,0,oct.,2001,40,1,Player 2,0,5188,1,1
LILA-Burbank-S10,4,0,0,0,Female,Art / Music,6,1,sep.,2006,40,0,Player 1,1,10485,1,1
LILA-Burbank-S10,5,0,0,0,Female,Art / Music,6,1,sep.,2006,40,1,Player 2,2,13903,1,1
LILA-Burbank-S10,9,0,0,0,Female,Art / Music,6,1,sep.,2006,40,2,Player 3,0,7454,1,1
