Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
FROG-S2,3,0,2,11,Male,English,1,2 or more,jun.,2011,1,0,Player 1,2,21735,0,0
FROG-S2,3,0,3,2,Male,Art / Music,1,0,apr.,2011,2,0,Player 1,2,49424,0,1
FROG-S2,3,0,3,9,Female,English,1,1,aug.,2011,1,1,Player 2,0,38006,0,0
FROG-S2,3,0,4,6,Male,English,1,1,apr.,2011,2,1,Player 2,2,13642,1,1
FROG-S2,3,0,4,8,Female,Art / Music,1,0,jan.,2011,1,0,Player 1,1,40533,0,0
FROG-S2,3,0,5,3,Male,Math / Science,1,1,jun.,2011,2,0,Player 1,0,32392,1,1
FROG-S2,3,0,5,4,Female,Art / Music,1,1,jul.,2011,2,1,Player 2,2,14205,1,1
FROG-S2,4,0,0,0,Male,Art / Music,1,1,apr.,2011,1,1,Player 2,1,17548,0,0
FROG-S2,4,0,0,9,Female,English,1,1,aug.,2011,1,0,Player 1,2,29464,1,0
FROG-S2,4,0,1,5,Female,English,1,1,feb.,2011,1,0,Player 1,0,46783,0,0
FROG-S2,4,0,1,11,Male,English,1,2 or more,jun.,2011,2,1,Player 2,0,15440,1,1
FROG-S2,4,0,2,7,Male,French,1,0,feb.,2011,2,0,Player 1,2,28706,1,1
FROG-S2,4,0,2,10,Male,Math / Science,1,1,nov.,2011,2,1,Player 2,0,15985,1,1
FROG-S2,4,0,3,2,Male,Art / Music,1,0,apr.,2011,2,1,Player 2,0,13249,1,1
FROG-S2,4,0,3,6,Male,English,1,1,apr.,2011,1,0,Player 1,1,34923,0,0
FROG-S2,4,0,4,4,Female,Art / Music,1,1,jul.,2011,1,0,Player 1,1,15598,0,0
FROG-S2,4,0,4,8,Female,Art / Music,1,0,jan.,2011,2,1,Player 2,0,12828,1,1
FROG-S2,4,0,5,1,Female,English,1,1,dec.,2011,1,0,Player 1,0,8708,0,0
FROG-S2,4,0,5,3,Male,Math / Science,1,1,jun.,2011,2,1,Player 2,0,18266,1,1
FROG-S2,5,0,0,2,Male,Art / Music,1,0,apr.,2011,1,0,Player 1,0,19616,0,0
FROG-S2,5,0,0,7,Male,French,1,0,feb.,2011,2,1,Player 2,2,13915,1,1
FROG-S2,5,0,1,1,Female,English,1,1,dec.,2011,1,1,Player 2,1,11235,0,0
FROG-S2,5,0,1,3,Male,Math / Science,1,1,jun.,2011,1,0,Player 1,2,23498,1,0
FROG-S2,5,0,2,5,Female,English,1,1,feb.,2011,1,1,Player 2,1,14954,0,0
FROG-S2,5,0,2,11,Male,English,1,2 or more,jun.,2011,2,0,Player 1,0,41846,0,1
FROG-S2,5,0,3,0,Male,Art / Music,1,1,apr.,2011,2,0,Player 1,2,53424,1,1
FROG-S2,5,0,3,6,Male,English,1,1,apr.,2011,2,1,Player 2,2,10297,1,1
FROG-S2,5,0,4,4,Female,Art / Music,1,1,jul.,2011,2,1,Player 2,2,18299,1,1
FROG-S2,5,0,4,10,Male,Math / Science,1,1,nov.,2011,1,0,Player 1,0,17954,0,0
FROG-S2,5,0,5,8,Female,Art / Music,1,0,jan.,2011,1,0,Player 1,1,15329,0,0
FROG-S2,5,0,5,9,Female,English,1,1,aug.,2011,2,1,Player 2,2,42211,1,1
FROG-S2,6,0,0,1,Female,English,1,1,dec.,2011,1,0,Player 1,2,7016,0,0
FROG-S2,6,0,0,11,Male,English,1,2 or more,jun.,2011,1,1,Player 2,2,10519,0,0
FROG-S2,6,0,1,0,Male,Art / Music,1,1,apr.,2011,2,1,Player 2,1,52055,1,1
