"","Session","Order","Game","matchId","roundId","groupId","clientId","Gender","Grade","Siblings","role","decision","payoff","Age","Track3"
"102","D1S1","BOS-HD","BOS2",3,11,5,5,"F",6,NA,"green","green",1,136,"At risk"
"103","D1S1","BOS-HD","BOS2",3,12,5,5,"F",6,NA,"green","green",4,136,"At risk"
"104","D1S1","BOS-HD","BOS2",3,13,5,5,"F",6,NA,"green","green",1,136,"At risk"
"105","D1S1","BOS-HD","BOS2",3,14,5,5,"F",6,NA,"green","green",1,136,"At risk"
"106","D1S1","BOS-HD","BOS2",3,15,5,5,"F",6,NA,"green","green",4,136,"At risk"
"107","D1S1","BOS-HD","BOS2",3,16,5,5,"F",6,NA,"green","green",4,136,"At risk"
"108","D1S1","BOS-HD","BOS2",3,17,5,5,"F",6,NA,"green","green",4,136,"At risk"
"109","D1S1","BOS-HD","BOS1",2,0,1,9,"M",7,NA,"green","red",2,152,"At risk"
"110","D1S1","BOS-HD","BOS1",2,1,1,9,"M",7,NA,"green","green",4,152,"At risk"
"111","D1S1","BOS-HD","BOS1",2,2,1,9,"M",7,NA,"green","red",2,152,"At risk"
"112","D1S1","BOS-HD","BOS1",2,3,1,9,"M",7,NA,"green","green",4,152,"At risk"
"113","D1S1","BOS-HD","BOS1",2,4,1,9,"M",7,NA,"green","red",2,152,"At risk"
"114","D1S1","BOS-HD","BOS1",2,5,1,9,"M",7,NA,"green","green",4,152,"At risk"
"115","D1S1","BOS-HD","BOS1",2,6,1,9,"M",7,NA,"green","red",1,152,"At risk"
"116","D1S1","BOS-HD","BOS1",2,7,1,9,"M",7,NA,"green","green",4,152,"At risk"
"117","D1S1","BOS-HD","BOS1",2,8,1,9,"M",7,NA,"green","red",2,152,"At risk"
"118","D1S1","BOS-HD","BOS1",2,9,1,9,"M",7,NA,"green","green",4,152,"At risk"
"119","D1S1","BOS-HD","BOS1",2,10,1,9,"M",7,NA,"green","red",2,152,"At risk"
"120","D1S1","BOS-HD","BOS1",2,11,1,9,"M",7,NA,"green","green",4,152,"At risk"
"121","D1S1","BOS-HD","BOS1",2,12,1,9,"M",7,NA,"green","red",1,152,"At risk"
"122","D1S1","BOS-HD","BOS1",2,13,1,9,"M",7,NA,"green","green",4,152,"At risk"
"123","D1S1","BOS-HD","BOS1",2,14,1,9,"M",7,NA,"green","green",1,152,"At risk"
"124","D1S1","BOS-HD","BOS1",2,15,1,9,"M",7,NA,"green","red",2,152,"At risk"
"125","D1S1","BOS-HD","BOS1",2,16,1,9,"M",7,NA,"green","green",4,152,"At risk"
"126","D1S1","BOS-HD","BOS1",2,17,1,9,"M",7,NA,"green","red",2,152,"At risk"
"127","D1S1","BOS-HD","BOS2",3,0,0,9,"M",7,NA,"red","green",2,152,"At risk"
"128","D1S1","BOS-HD","BOS2",3,1,0,9,"M",7,NA,"red","red",1,152,"At risk"
"129","D1S1","BOS-HD","BOS2",3,2,0,9,"M",7,NA,"red","green",2,152,"At risk"
"130","D1S1","BOS-HD","BOS2",3,3,0,9,"M",7,NA,"red","red",1,152,"At risk"
"131","D1S1","BOS-HD","BOS2",3,4,0,9,"M",7,NA,"red","green",2,152,"At risk"
"132","D1S1","BOS-HD","BOS2",3,5,0,9,"M",7,NA,"red","red",6,152,"At risk"
"133","D1S1","BOS-HD","BOS2",3,6,0,9,"M",7,NA,"red","green",2,152,"At risk"
"134","D1S1","BOS-HD","BOS2",3,7,0,9,"M",7,NA,"red","red",6,152,"At risk"
"135","D1S1","BOS-HD","BOS2",3,8,0,9,"M",7,NA,"red","green",2,152,"At risk"
"136","D1S1","BOS-HD","BOS2",3,9,0,9,"M",7,NA,"red","red",6,152,"At risk"
"137","D1S1","BOS-HD","BOS2",3,10,0,9,"M",7,NA,"red","green",2,152,"At risk"
"138","D1S1","BOS-HD","BOS2",3,11,0,9,"M",7,NA,"red","red",1,152,"At risk"
"139","D1S1","BOS-HD","BOS2",3,12,0,9,"M",7,NA,"red","red",1,152,"At risk"
"140","D1S1","BOS-HD","BOS2",3,13,0,9,"M",7,NA,"red","red",6,152,"At risk"
"141","D1S1","BOS-HD","BOS2",3,14,0,9,"M",7,NA,"red","green",2,152,"At risk"
"142","D1S1","BOS-HD","BOS2",3,15,0,9,"M",7,NA,"red","red",6,152,"At risk"
"143","D1S1","BOS-HD","BOS2",3,16,0,9,"M",7,NA,"red","green",2,152,"At risk"
"144","D1S1","BOS-HD","BOS2",3,17,0,9,"M",7,NA,"red","red",6,152,"At risk"
"145","D1S1","BOS-HD","BOS1",2,0,4,6,"M",6,NA,"green","red",2,140,"At risk"
"146","D1S1","BOS-HD","BOS1",2,1,4,6,"M",6,NA,"green","green",1,140,"At risk"
"147","D1S1","BOS-HD","BOS1",2,2,4,6,"M",6,NA,"green","green",4,140,"At risk"
"148","D1S1","BOS-HD","BOS1",2,3,4,6,"M",6,NA,"green","red",2,140,"At risk"
