Order,Location,Session,Game,matchId,roundId,groupId,clientId,Gender,Grade,Older siblings,Younger siblings,role,decision,decisionTime,payoff
SH-BOS,BUR,67-G1,SH1,5,18,4,3,M,6,0,1,blue,in,2078,3
SH-BOS,BUR,67-G1,SH1,5,19,4,3,M,6,0,1,blue,in,1250,3
SH-BOS,BUR,67-G1,SH1,5,20,4,3,M,6,0,1,blue,in,2266,3
SH-BOS,BUR,67-G1,SH1,5,21,4,3,M,6,0,1,blue,in,1156,3
SH-BOS,BUR,67-G1,SH1,5,22,4,3,M,6,0,1,blue,in,2156,3
SH-BOS,BUR,67-G1,SH1,5,23,4,3,M,6,0,1,blue,in,1015,3
SH-BOS,BUR,67-G1,SH2,6,0,3,3,M,6,0,1,blue,in,1328,3
SH-BOS,BUR,67-G1,SH2,6,1,3,3,M,6,0,1,blue,in,640,3
SH-BOS,BUR,67-G1,SH2,6,2,3,3,M,6,0,1,blue,in,907,3
SH-BOS,BUR,67-G1,SH2,6,3,3,3,M,6,0,1,blue,in,1141,3
SH-BOS,BUR,67-G1,SH2,6,4,3,3,M,6,0,1,blue,in,984,3
SH-BOS,BUR,67-G1,SH2,6,5,3,3,M,6,0,1,blue,in,531,3
SH-BOS,BUR,67-G1,SH2,6,6,3,3,M,6,0,1,blue,in,985,3
SH-BOS,BUR,67-G1,SH2,6,7,3,3,M,6,0,1,blue,in,687,3
SH-BOS,BUR,67-G1,SH2,6,8,3,3,M,6,0,1,blue,in,734,3
SH-BOS,BUR,67-G1,SH2,6,9,3,3,M,6,0,1,blue,in,1125,3
SH-BOS,BUR,67-G1,SH2,6,10,3,3,M,6,0,1,blue,in,2578,3
SH-BOS,BUR,67-G1,SH2,6,11,3,3,M,6,0,1,blue,in,1390,3
SH-BOS,BUR,67-G1,SH2,6,12,3,3,M,6,0,1,blue,in,1062,3
SH-BOS,BUR,67-G1,SH2,6,13,3,3,M,6,0,1,blue,in,577,3
SH-BOS,BUR,67-G1,SH2,6,14,3,3,M,6,0,1,blue,in,562,3
SH-BOS,BUR,67-G1,SH2,6,15,3,3,M,6,0,1,blue,in,640,3
SH-BOS,BUR,67-G1,SH2,6,16,3,3,M,6,0,1,blue,in,781,3
SH-BOS,BUR,67-G1,SH2,6,17,3,3,M,6,0,1,blue,in,672,3
